"CNES","CODUFMUN","COD_CEP","CPF_CNPJ","PF_PJ","NIV_DEP","CNPJ_MAN","COD_IR","REGSAUDE","MICR_REG","DISTRSAN","DISTRADM","VINC_SUS","TPGESTAO","ESFERA_A","RETENCAO","ATIVIDAD","NATUREZA","CLIENTEL","TP_UNID","TURNO_AT","NIV_HIER","TP_PREST","CO_BANCO","CO_AGENC","C_CORREN","CONTRATM","DT_PUBLM","CONTRATE","DT_PUBLE","ALVARA","DT_EXPED","ORGEXPED","AV_ACRED","CLASAVAL","DT_ACRED","AV_PNASS","DT_PNASS","GESPRG1E","GESPRG1M","GESPRG2E","GESPRG2M","GESPRG4E","GESPRG4M","NIVATE_A","GESPRG3E","GESPRG3M","GESPRG5E","GESPRG5M","GESPRG6E","GESPRG6M","NIVATE_H","QTLEITP1","QTLEITP2","QTLEITP3","LEITHOSP","QTINST01","QTINST02","QTINST03","QTINST04","QTINST05","QTINST06","QTINST07","QTINST08","QTINST09","QTINST10","QTINST11","QTINST12","QTINST13","QTINST14","URGEMERG","QTINST15","QTINST16","QTINST17","QTINST18","QTINST19","QTINST20","QTINST21","QTINST22","QTINST23","QTINST24","QTINST25","QTINST26","QTINST27","QTINST28","QTINST29","QTINST30","ATENDAMB","QTINST31","QTINST32","QTINST33","CENTRCIR","QTINST34","QTINST35","QTINST36","QTINST37","CENTROBS","QTLEIT05","QTLEIT06","QTLEIT07","QTLEIT08","QTLEIT09","QTLEIT19","QTLEIT20","QTLEIT21","QTLEIT22","QTLEIT23","QTLEIT32","QTLEIT34","QTLEIT38","QTLEIT39","QTLEIT40","CENTRNEO","ATENDHOS","SERAP01P","SERAP01T","SERAP02P","SERAP02T","SERAP03P","SERAP03T","SERAP04P","SERAP04T","SERAP05P","SERAP05T","SERAP06P","SERAP06T","SERAP07P","SERAP07T","SERAP08P","SERAP08T","SERAP09P","SERAP09T","SERAP10P","SERAP10T","SERAP11P","SERAP11T","SERAPOIO","RES_BIOL","RES_QUIM","RES_RADI","RES_COMU","COLETRES","COMISS01","COMISS02","COMISS03","COMISS04","COMISS05","COMISS06","COMISS07","COMISS08","COMISS09","COMISS10","COMISS11","COMISS12","COMISSAO","AP01CV01","AP01CV02","AP01CV03","AP01CV04","AP01CV05","AP01CV06","AP01CV07","AP02CV01","AP02CV02","AP02CV03","AP02CV04","AP02CV05","AP02CV06","AP02CV07","AP03CV01","AP03CV02","AP03CV03","AP03CV04","AP03CV05","AP03CV06","AP03CV07","AP04CV01","AP04CV02","AP04CV03","AP04CV04","AP04CV05","AP04CV06","AP04CV07","AP05CV01","AP05CV02","AP05CV03","AP05CV04","AP05CV05","AP05CV06","AP05CV07","AP06CV01","AP06CV02","AP06CV03","AP06CV04","AP06CV05","AP06CV06","AP06CV07","AP07CV01","AP07CV02","AP07CV03","AP07CV04","AP07CV05","AP07CV06","AP07CV07","ATEND_PR","DT_ATUAL","COMPETEN","NAT_JUR"
"2368099","220005","64748000","00000000000000","3","3","03961246000118","","17","","","","1","M","","","04","","01","02","03","","99","","","","","","","","0002","20020701","2","","","","","","0","1","0","0","0","0","1","0","0","0","0","0","0","0",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,1,1,0,1,0,2,1,0,1,1,1,0,1,0,"1",0,0,0,"0",0,0,0,0,"0",0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,"0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","202207","202208","1031"
"2960435","220005","64748000","00000000000000","3","3","03961246000118","","","","","","1","M","","","04","","03","74","04","","99","","","","","","","","","","","","","","","","0","1","0","0","0","0","1","0","0","0","0","0","0","0",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,0,"0",0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","202207","202208","1031"
"6627684","220005","64748000","00000000000000","3","3","03961246000118","","17","","","","1","M","","","04","","01","02","01","","99","","","","","","","","","","","","","","","","0","1","0","0","0","0","1","0","0","0","0","0","0","0",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,"1",0,0,0,"0",0,0,0,0,"0",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,"0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","202207","202208","1031"
"6627692","220005","64748000","00000000000000","3","3","03961246000118","","","","","","1","M","","","04","","01","68","01","","99","","","","","","","","","","","","","","","","0","0","0","1","0","0","1","0","0","0","0","0","0","0",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"0",0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","202207","202208","1031"
"6666221","220005","64748000","00000000000000","3","3","03961246000118","","17","","","","1","M","","","04","","03","02","01","","99","","","","","","","","","","","","","","","","0","1","0","0","0","0","1","0","0","0","0","0","0","0",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",2,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,"1",0,0,0,"0",0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","202207","202208","1031"
"7753322","220005","64748000","00000000000000","3","3","03961246000118","","17","","","","1","E","","","04","","03","39","03","","99","","","","","","","","","","","","","","","","0","0","1","0","0","0","1","0","0","0","0","0","0","0",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"0",0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","201902","202208","1031"
"7853653","220005","64748000","00000000000000","3","3","03961246000118","","17","","","","1","M","","","04","","03","74","03","","99","","","","","","","","","20210103","2","","","","","","0","1","0","0","0","0","1","0","0","0","0","0","0","0",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,0,"0",0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","202207","202208","1031"
"0847100","220010","64440000","00000000000000","3","3","02875123000100","","","","","","1","M","","","04","","03","74","03","","99","","","","","","","","","","","","","","","","0","1","0","0","0","0","1","0","0","0","0","0","0","0",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"0",0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","202207","202208","1031"
"2325519","220010","64440000","00000000000000","3","3","02875123000100","","6","","","","1","M","","","04","","02","02","03","","99","","","","","","","","0101/02","20020130","2","","","","","","0","1","0","0","0","0","1","0","0","0","0","0","0","0",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,"1",0,0,0,"0",0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","202202","202208","1031"
"2609266","220010","64440000","00000000000000","3","3","02875123000100","","6","","","","1","M","","","04","","01","02","03","","99","","","","","","","","","","","","","","","","0","1","0","0","0","0","1","0","0","0","0","0","0","0",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,1,2,0,0,0,0,1,0,1,1,0,0,0,0,"1",0,0,0,"0",0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","202202","202208","1031"
